EMPLOYEE_ID,FIRST_NAME,EMAIL,Job_description,MANAGER_ID,DEPARTMENT_NAME
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
130,Mozhe,[MATKINSO@gmail.com],Stock Clerk,121,Shipping
